FILE,DATA\2016\01\Logger_sn_1724-43_data_20160125_184439.csv
VERSION,3.0
LOGGER TYPE,AQUAlogger 530WTD 60bar max600m
LOGGER,1724-43,1724-43_Flicka     
REGIME TITLE, Mode, Interval, Samples Per Burst, Sample Rate, Samples Per Average
REGIME, Continous Mode,90 seconds,1, 0.011111, 1, 
Depth Trigger
 - Start log session : Enable
 - Start at a depth : 3.00 m - 26495 raw
 - Stop log session : Enable
 - Stop at a depth : 0.99 m - 26396 raw
 - Stop event : Stop Session
 - Wireless activation : Enable once stopped
[LOGGER CHANNEL 0],Ext temperature
COEFFS, 81.082108, -0.0037560537, 8.0017877e-08, -1.058457e-12, 4.5024086e-18
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 1],Battery voltage
COEFFS, 0, 7.6295401e-05, 0, 0, 0
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 2],Pressure       
COEFFS, -51.978146, 0.0019993875, 4.5188606e-10, 0, 0
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 4],Depth          
COEFFS, 51.507366, 1.01325, 1, 0, 0
AVERAGED, No
GAIN MODE, n/a
START TIME, 1/12/2016 9:39:33 AM
STOP TIME, 1/25/2016 6:44:45 PM
HEADING, Timecode,Ext temperature,,Battery voltage,,Pressure       ,,Depth          ,,
UNITS, Timecode,Raw, °C     ,Raw, V      ,Raw, bar    ,Raw, m      ,
BURSTSTART,1/25/2016 7:11:03 AM,31338,13.725275,47704,3.639596,28236,4.836836,0,41.058521,
DATA,1/25/2016 7:12:33 AM,31049,14.103027,47712,3.640206,30626,9.678944,0,91.824047,
DATA,1/25/2016 7:14:03 AM,30953,14.228781,47720,3.640817,32141,12.750987,0,124.020091,
DATA,1/25/2016 7:15:33 AM,30888,14.314006,47732,3.641732,32364,13.203350,0,128.760507,
DATA,1/25/2016 7:17:03 AM,30831,14.388796,47744,3.642648,33046,14.587091,0,143.260288,
DATA,1/25/2016 7:18:33 AM,30816,14.408486,47760,3.643868,32974,14.440987,0,141.729363,
DATA,1/25/2016 7:20:03 AM,30779,14.457070,47768,3.644479,32961,14.414608,0,141.452950,
DATA,1/25/2016 7:21:33 AM,30753,14.491222,47776,3.645089,32976,14.445046,0,141.771888,
DATA,1/25/2016 7:23:03 AM,30747,14.499105,47784,3.645699,33402,15.309563,0,150.830411,
DATA,1/25/2016 7:24:33 AM,30728,14.524071,47794,3.646462,34067,16.659430,0,164.973686,
DATA,1/25/2016 7:26:03 AM,30723,14.530642,47800,3.646920,34470,17.477665,0,173.546289,
DATA,1/25/2016 7:27:33 AM,30714,14.542471,47808,3.647531,34578,17.696968,0,175.843863,
