FILE,DATA\2016\03\Logger_sn_1724-43_data_20160301_091916.csv
VERSION,3.0
LOGGER TYPE,AQUAlogger 530WTD 60bar max600m
LOGGER,1724-43,1724-43_Flicka     
REGIME TITLE, Mode, Interval, Samples Per Burst, Sample Rate, Samples Per Average
REGIME, Continous Mode,90 seconds,1, 0.011111, 1, 
Depth Trigger
 - Start log session : Enable
 - Start at a depth : 3.00 m - 26495 raw
 - Stop log session : Enable
 - Stop at a depth : 0.99 m - 26396 raw
 - Stop event : Stop Session
 - Wireless activation : Enable once stopped
[LOGGER CHANNEL 0],Ext temperature
COEFFS, 81.082108, -0.0037560537, 8.0017877e-08, -1.058457e-12, 4.5024086e-18
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 1],Battery voltage
COEFFS, 0, 7.6295401e-05, 0, 0, 0
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 2],Pressure       
COEFFS, -51.978146, 0.0019993875, 4.5188606e-10, 0, 0
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 4],Depth          
COEFFS, 51.507366, 1.01325, 1, 0, 0
AVERAGED, No
GAIN MODE, n/a
START TIME, 2/4/2016 5:46:36 PM
STOP TIME, 3/1/2016 9:18:56 AM
HEADING, Timecode,Ext temperature,,Battery voltage,,Pressure       ,,Depth          ,,
UNITS, Timecode,Raw, °C     ,Raw, V      ,Raw, bar    ,Raw, m      ,
BURSTSTART,2/17/2016 11:12:06 AM,31816,13.103028,47926,3.656533,27430,3.205055,0,23.934696,
DATA,2/17/2016 11:13:36 AM,31282,13.798379,47930,3.656839,29919,8.246034,0,76.804269,
DATA,2/17/2016 11:15:06 AM,31191,13.917267,47932,3.656991,31506,11.463112,0,110.523494,
DATA,2/17/2016 11:16:36 AM,31159,13.959103,47936,3.657296,31888,12.237821,0,118.642372,
DATA,2/17/2016 11:18:06 AM,31183,13.927725,47936,3.657296,31059,10.556748,0,101.024388,
DATA,2/17/2016 11:19:36 AM,31191,13.917267,47940,3.657602,31314,11.073779,0,106.443177,
DATA,2/17/2016 11:21:06 AM,31119,14.011418,47942,3.657754,32116,12.700276,0,123.488676,
DATA,2/17/2016 11:22:36 AM,31115,14.016651,47940,3.657602,33005,14.503892,0,142.388507,
DATA,2/17/2016 11:24:06 AM,31100,14.036276,47944,3.657907,33171,14.840755,0,145.918233,
DATA,2/17/2016 11:25:36 AM,31097,14.040202,47944,3.657907,32114,12.696219,0,123.446163,
DATA,2/17/2016 11:27:06 AM,31178,13.934261,47945,3.657983,30422,9.265441,0,87.489887,
DATA,2/17/2016 11:28:36 AM,31190,13.918574,47944,3.657907,28363,5.094007,0,43.755845,
