FILE,DATA\2016\01\Logger_sn_1724-50_data_20160129_161458.csv
VERSION,4.0
LOGGER TYPE,AQUAlogger 530WTD 60bar max600m
LOGGER,1724-50,1724-50_Dyrsten  
REGIME TITLE, Mode, Interval, Samples Per Burst, Sample Rate, Samples Per Average
REGIME, Continous Mode,90 seconds,1, 0.011111, 1, 
Depth Trigger
 - Start log session : Enable
 - Start at a depth : 2.99 m - 26545 raw
 - Stop log session : Enable
 - Stop at a depth : 1.00 m - 26448 raw
 - Stop event : Stop Session
 - Wireless activation : Enable once stopped
[LOGGER CHANNEL 0],Ext temperature
COEFFS, 79.952682, -0.0035934004, 7.1837228e-08, -8.7835918e-13, 3.0475282e-18
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 1],Battery voltage
COEFFS, 0, 7.6295401e-05, 0, 0, 0
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 2],Pressure       
COEFFS, -52.943447, 0.002037012, 2.5932195e-10, 0, 0
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 4],Depth          
COEFFS, 51.507366, 1.01325, 1, 0, 0
AVERAGED, No
GAIN MODE, n/a
START TIME, 1/12/2016 10:16:46 AM
STOP TIME, 1/29/2016 4:15:19 PM
HEADING, Timecode,Ext temperature,,Battery voltage,,Pressure       ,,Depth          ,,
UNITS, [MM/dd/yyyy HH:mm:ss] UTC-5,Raw, °C     ,Raw, V      ,Raw, bar    ,Raw, m      ,
BURSTSTART,1/25/2016 2:40:46 PM,35396,8.595143,47356,3.613045,26958,2.158781,0,12.929456,
DATA,1/25/2016 2:42:16 PM,35407,8.581187,47360,3.613350,27796,3.877696,0,30.995924,
DATA,1/25/2016 2:43:46 PM,35390,8.602756,47362,3.613503,27472,3.213060,0,24.018764,
DATA,1/25/2016 2:45:16 PM,35378,8.617981,47368,3.613961,27294,2.847944,0,20.182936,
DATA,1/25/2016 2:46:46 PM,35372,8.625594,47364,3.613655,27458,3.184343,0,23.717162,
DATA,1/25/2016 2:48:16 PM,35377,8.619250,47376,3.614571,27837,3.961805,0,31.878559,
DATA,1/25/2016 2:49:46 PM,35375,8.621787,47376,3.614571,28099,4.499302,0,37.517915,
DATA,1/25/2016 2:51:16 PM,35363,8.637013,47384,3.615181,27843,3.974113,0,32.007721,
DATA,1/25/2016 2:52:46 PM,35357,8.644626,47380,3.614876,27752,3.787433,0,30.048652,
DATA,1/25/2016 2:54:16 PM,35353,8.649702,47388,3.615486,27566,3.405881,0,26.043500,
DATA,1/25/2016 2:55:46 PM,35347,8.657315,47386,3.615334,27313,2.886916,0,20.592518,
DATA,1/25/2016 2:57:16 PM,35345,8.659853,47388,3.615486,27530,3.332034,0,25.268129,
DATA,1/25/2016 2:58:46 PM,35339,8.667466,47392,3.615792,27207,2.669494,0,18.306919,
DATA,1/25/2016 3:00:16 PM,35327,8.682693,47388,3.615486,26879,1.996754,0,11.218799,
DATA,1/25/2016 3:01:46 PM,35248,8.782950,47396,3.616097,26512,1.244089,0,3.117908,
BURSTSTART,1/28/2016 10:15:16 AM,36292,7.459222,47388,3.615486,26621,1.467625,0,5.583364,
