FILE,DATA\2016\02\Logger_sn_1724-50_data_20160201_141609.csv
VERSION,4.0
LOGGER TYPE,AQUAlogger 530WTD 60bar max600m
LOGGER,1724-50,1724-50_Dyrsten  
REGIME TITLE, Mode, Interval, Samples Per Burst, Sample Rate, Samples Per Average
REGIME, Continous Mode,90 seconds,1, 0.011111, 1, 
Depth Trigger
 - Start log session : Enable
 - Start at a depth : 2.99 m - 26545 raw
 - Stop log session : Enable
 - Stop at a depth : 1.00 m - 26448 raw
 - Stop event : Stop Session
 - Wireless activation : Enable once stopped
[LOGGER CHANNEL 0],Ext temperature
COEFFS, 79.952682, -0.0035934004, 7.1837228e-08, -8.7835918e-13, 3.0475282e-18
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 1],Battery voltage
COEFFS, 0, 7.6295401e-05, 0, 0, 0
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 2],Pressure       
COEFFS, -52.943447, 0.002037012, 2.5932195e-10, 0, 0
AVERAGED, No
GAIN MODE, n/a
[LOGGER CHANNEL 4],Depth          
COEFFS, 51.507366, 1.01325, 1, 0, 0
AVERAGED, No
GAIN MODE, n/a
START TIME, 1/29/2016 4:15:35 PM
STOP TIME, 2/1/2016 2:15:37 PM
HEADING, Timecode,Ext temperature,,Battery voltage,,Pressure       ,,Depth          ,,
UNITS, [MM/dd/yyyy HH:mm:ss] UTC-5,Raw, °C     ,Raw, V      ,Raw, bar    ,Raw, m      ,
BURSTSTART,2/1/2016 10:23:05 AM,37481,5.952253,47560,3.628609,27676,3.631528,0,28.412305,
DATA,2/1/2016 10:24:35 AM,35489,8.477164,47556,3.628304,28014,4.324919,0,35.688497,
DATA,2/1/2016 10:26:05 AM,37560,5.852049,47552,3.627999,27607,3.489985,0,26.926482,
DATA,2/1/2016 10:27:35 AM,37623,5.772128,47552,3.627999,27424,3.114600,0,22.984641,
DATA,2/1/2016 10:29:05 AM,37618,5.778471,47544,3.627389,27519,3.309470,0,25.031196,
DATA,2/1/2016 10:30:35 AM,37660,5.725185,47540,3.627083,27432,3.131010,0,23.157006,
DATA,2/1/2016 10:32:05 AM,37669,5.713765,47538,3.626931,27508,3.286906,0,24.794256,
DATA,2/1/2016 10:33:35 AM,37675,5.706152,47532,3.626473,27600,3.475626,0,26.775734,
DATA,2/1/2016 10:35:05 AM,37654,5.732797,47528,3.626168,27671,3.621271,0,28.304643,
DATA,2/1/2016 10:36:35 AM,37645,5.744216,47528,3.626168,27699,3.678710,0,28.907537,
DATA,2/1/2016 10:38:05 AM,37707,5.665548,47528,3.626168,27508,3.286906,0,24.794256,
DATA,2/1/2016 10:39:35 AM,37720,5.649052,47522,3.625710,27326,2.913582,0,20.872736,
DATA,2/1/2016 10:41:05 AM,37723,5.645245,47520,3.625557,27391,3.046910,0,22.273582,
DATA,2/1/2016 10:42:35 AM,37724,5.643976,47514,3.625100,27503,3.276649,0,24.686554,
DATA,2/1/2016 10:44:05 AM,37330,6.143739,47512,3.624947,27894,4.078738,0,33.105564,
DATA,2/1/2016 10:45:35 AM,37579,5.827947,47512,3.624947,27799,3.883850,0,31.060509,
DATA,2/1/2016 10:47:05 AM,37722,5.646514,47508,3.624642,27487,3.243829,0,24.341896,
DATA,2/1/2016 10:48:35 AM,37741,5.622403,47504,3.624337,27292,2.843842,0,20.139819,
DATA,2/1/2016 10:50:05 AM,37752,5.608444,47504,3.624337,27196,2.646932,0,18.069646,
DATA,2/1/2016 10:51:35 AM,37749,5.612251,47504,3.624337,27326,2.913582,0,20.872736,
DATA,2/1/2016 10:53:05 AM,37742,5.621134,47496,3.623726,27323,2.907428,0,20.808072,
DATA,2/1/2016 10:54:35 AM,37739,5.624941,47496,3.623726,27285,2.829484,0,19.988909,
DATA,2/1/2016 10:56:05 AM,37738,5.626210,47496,3.623726,27405,3.075627,0,22.575254,
DATA,2/1/2016 10:57:35 AM,37725,5.642707,47494,3.623574,27648,3.574090,0,27.809386,
DATA,2/1/2016 10:59:05 AM,37712,5.659204,47492,3.623421,27709,3.699223,0,29.122849,
DATA,2/1/2016 11:00:35 AM,37731,5.635093,47496,3.623726,27478,3.225368,0,24.148019,
DATA,2/1/2016 11:02:05 AM,37732,5.633824,47488,3.623116,27514,3.299214,0,24.923497,
DATA,2/1/2016 11:03:35 AM,37735,5.630017,47490,3.623269,27369,3.001783,0,21.799492,
DATA,2/1/2016 11:05:05 AM,37737,5.627479,47488,3.623116,27308,2.876660,0,20.484737,
DATA,2/1/2016 11:06:35 AM,37744,5.618596,47488,3.623116,27337,2.936145,0,21.109830,
DATA,2/1/2016 11:08:05 AM,37736,5.628748,47488,3.623116,27569,3.412035,0,26.108112,
DATA,2/1/2016 11:09:35 AM,37754,5.605905,47484,3.622811,27412,3.089985,0,22.726084,
DATA,2/1/2016 11:11:05 AM,37755,5.604636,47488,3.623116,27234,2.724875,0,18.889239,
DATA,2/1/2016 11:12:35 AM,37746,5.616058,47480,3.622506,27111,2.472589,0,16.235466,
DATA,2/1/2016 11:14:05 AM,37754,5.605905,47480,3.622506,27185,2.624370,0,17.832354,
DATA,2/1/2016 11:15:35 AM,37756,5.603367,47482,3.622658,27173,2.599757,0,17.573468,
DATA,2/1/2016 11:17:05 AM,37758,5.600829,47484,3.622811,27408,3.081781,0,22.639896,
DATA,2/1/2016 11:18:35 AM,37755,5.604636,47477,3.622277,27521,3.313572,0,25.074275,
DATA,2/1/2016 11:20:05 AM,37755,5.604636,47480,3.622506,27401,3.067422,0,22.489063,
DATA,2/1/2016 11:21:35 AM,37753,5.607175,47476,3.622200,27315,2.891019,0,20.635629,
DATA,2/1/2016 11:23:05 AM,37754,5.605905,47476,3.622200,27367,2.997681,0,21.756391,
DATA,2/1/2016 11:24:35 AM,37741,5.622403,47480,3.622506,27575,3.424343,0,26.237333,
DATA,2/1/2016 11:26:05 AM,37638,5.753097,47478,3.622353,27787,3.859233,0,30.802169,
DATA,2/1/2016 11:27:35 AM,37610,5.788620,47476,3.622200,27780,3.844873,0,30.651468,
DATA,2/1/2016 11:29:05 AM,37056,6.491089,47476,3.622200,27921,4.134128,0,33.686750,
DATA,2/1/2016 11:30:35 AM,37336,6.136131,47474,3.622048,27881,4.052069,0,32.825728,
DATA,2/1/2016 11:32:05 AM,37177,6.337713,47473,3.621972,27882,4.054120,0,32.847254,
DATA,2/1/2016 11:33:35 AM,37040,6.511368,47474,3.622048,27911,4.113613,0,33.471498,
DATA,2/1/2016 11:35:05 AM,37623,5.772128,47476,3.622200,27704,3.688966,0,29.015193,
DATA,2/1/2016 11:36:35 AM,37642,5.748022,47480,3.622506,27712,3.705378,0,29.187442,
DATA,2/1/2016 11:38:05 AM,37670,5.712497,47477,3.622277,27607,3.489985,0,26.926482,
DATA,2/1/2016 11:39:35 AM,37628,5.765784,47478,3.622353,27680,3.639733,0,28.498434,
DATA,2/1/2016 11:41:05 AM,37544,5.872345,47476,3.622200,27830,3.947445,0,31.727868,
DATA,2/1/2016 11:42:35 AM,37622,5.773396,47476,3.622200,27655,3.588449,0,27.960119,
DATA,2/1/2016 11:44:05 AM,37292,6.191920,47476,3.622200,27892,4.074635,0,33.062512,
DATA,2/1/2016 11:45:35 AM,36715,6.923233,47472,3.621895,27918,4.127974,0,33.622175,
DATA,2/1/2016 11:47:05 AM,37586,5.819067,47476,3.622200,27655,3.588449,0,27.960119,
DATA,2/1/2016 11:48:35 AM,37684,5.694733,47474,3.622048,27504,3.278701,0,24.708094,
DATA,2/1/2016 11:50:05 AM,37720,5.649052,47476,3.622200,27431,3.128959,0,23.135461,
DATA,2/1/2016 11:51:35 AM,37714,5.656666,47473,3.621972,27423,3.112549,0,22.963095,
